period,reporterCode,partnerCode,HS6code,qtyUnitCode,qty_M,qty_RM,qty_X,primaryValue_M,primaryValue_RM,primaryValue_X,netWgt_M,netWgt_RM,netWgt_X,balance_primaryValue,balance_qty,balance_netWgt
2017,156,842,70951,8,0,0,2036252,0,0,3386100,0,0,2036252,3386100,2036252,2036252
2017,156,842,70959,8,260,0,14447776,3128,0,38814652,260,0,14447776,38811524,14447516,14447516
2017,156,842,70960,8,0,0,200,0,0,400,0,0,200,400,200,200
2017,156,842,70970,8,0,0,1320,0,0,2598,0,0,1320,2598,1320,1320
2017,156,842,70999,8,816,0,1967104,2020,0,6398314,816,0,1967104,6396294,1966288,1966288
2017,156,842,710,8,28992488,0,245202744,37515250,0,245655884,28992488,0,245202744,208140634,216210256,216210256
2017,156,842,71010,8,134212,0,365112,216330,0,263252,134212,0,365112,46922,230900,230900
2017,156,842,71021,8,630990,0,5749478,773038,0,7663276,630990,0,5749478,6890238,5118488,5118488
2017,156,842,71022,8,484260,0,3424614,718762,0,4331434,484260,0,3424614,3612672,2940354,2940354
2017,156,842,71029,8,8430,0,45539432,17096,0,68766682,8430,0,45539432,68749586,45531002,45531002
2017,156,842,71030,8,1240,0,47974348,3754,0,33218772,1240,0,47974348,33215018,47973108,47973108
2017,156,842,71040,8,26239894,0,4979026,33781330,0,5513894,26239894,0,4979026,-28267436,-21260868,-21260868
2017,156,842,71080,8,1424428,0,108656360,1879636,0,102312834,1424428,0,108656360,100433198,107231932,107231932
2017,156,842,71090,8,69034,0,28514374,125304,0,23585740,69034,0,28514374,23460436,28445340,28445340
2017,156,842,711,8,0,0,3220280,0,0,3315654,0,0,3220280,3315654,3220280,3220280
2017,156,842,71140,8,0,0,276200,0,0,183756,0,0,276200,183756,276200,276200
2017,156,842,71190,8,0,0,2944080,0,0,3131898,0,0,2944080,3131898,2944080,2944080
2017,156,842,712,8,278882,0,173220948,1252212,0,929095284,278882,0,173220948,927843072,172942066,172942066
2017,156,842,71220,8,268070,0,1988842,949542,0,6182024,268070,0,1988842,5232482,1720772,1720772
2017,156,842,71231,8,1458,0,24016,223052,0,225288,1458,0,24016,2236,22558,22558
2017,156,842,71232,8,0,0,1834178,0,0,30192660,0,0,1834178,30192660,1834178,1834178
2017,156,842,71233,8,0,0,86530,0,0,1185754,0,0,86530,1185754,86530,86530
