"period","reporterCode","partnerCode","HS6code","qtyUnitCode","qty_M","qty_RM","qty_X","primaryValue_M","primaryValue_RM","primaryValue_X","netWgt_M","netWgt_RM","netWgt_X","balance_primaryValue","balance_qty","balance_netWgt"
2017,"156","156","391000",8,10676024.562,10676024.562,0,63793500,63793500,0,10676024.562,10676024.562,0,-63793500,-10676024.562,-10676024.562
2017,"156","842","391000",8,50417184.455,0,51712662,318042038,0,140460706,50417184.455,0,51712662,-177581332,1295477.545,1295477.545
2017,"156","0","391000",8,242273131.447,10676024.562,426864154.981,1514079328,63793500,1267104810,242273131.447,10676024.562,426864154.981,-246974518,184591023.534,184591023.534
2017,"156","392","391000",8,44324128,0,23002348.064,358327664,0,82501288,44324128,0,23002348.064,-275826376,-21321779.936,-21321779.936
2017,"156","276","391000",8,49766616.814,0,6271128,304407704,0,25481926,49766616.814,0,6271128,-278925778,-43495488.814,-43495488.814
2017,"156","0","854140",-1,0,0,0,18610422854,3964276112,32677723584,111421148.647,23063881.98,4218429934.619,14067300730,0,4107008785.972
2017,"156","699","854140",-1,0,0,0,2399100,0,6998239342,52351.603,0,1338354897.164,6995840242,0,1338302545.561
2017,"156","344","854140",-1,0,0,0,43353768,0,5603053220,1247392.597,0,16454567.68,5559699452,0,15207175.083
2017,"156","36","854140",-1,0,0,0,359628,0,1345084746,52916.057,0,269834052.502,1344725118,0,269781136.445
2017,"156","842","854140",-1,0,0,0,320382118,0,1560008014,3137806.136,0,243668516.266,1239625896,0,240530710.13
2017,"156","484","854140",-1,0,0,0,26278304,0,1145867466,23215.904,0,231079803.116,1119589162,0,231056587.212
2017,"156","76","854140",-1,0,0,0,1664084,0,890938364,21290,0,120483207.866,889274280,0,120461917.866
2017,"156","784","854140",-1,0,0,0,0,0,633597988,0,0,136522452.386,633597988,0,136522452.386
2017,"156","528","854140",-1,0,0,0,3397418,0,571966478,70840.336,0,74388241.356,568569060,0,74317401.02
2017,"156","586","854140",-1,0,0,0,0,0,554897872,0,0,115449506.654,554897872,0,115449506.654
2017,"156","410","854140",-1,0,0,0,1693012076,0,2117052418,2476899.77,0,105801629.947,424040342,0,103324730.177
2017,"156","392","854140",-1,0,0,0,4039082804,0,4435788046,5977188.302,0,709918259.456,396705242,0,703941071.154
2017,"156","276","854140",-1,0,0,0,277819570,0,616546650,12145631.801,0,25507059.872,338727080,0,13361428.071
2017,"156","400","854140",-1,0,0,0,0,0,283496224,0,0,62121290.844,283496224,0,62121290.844
2017,"156","152","854140",-1,0,0,0,6708,0,239398408,4,0,49541498,239391700,0,49541494
2017,"156","792","854140",-1,0,0,0,752888,0,222766530,63504,0,22360323.229,222013642,0,22296819.229
2017,"156","364","854140",-1,0,0,0,210,0,217602232,1.258,0,44744244,217602022,0,44744242.742
2017,"156","124","854140",-1,0,0,0,4070698,0,203249666,303820.22,0,20517762,199178968,0,20213941.78
2017,"156","804","854140",-1,0,0,0,132506,0,195482164,8,0,41212838,195349658,0,41212830
2017,"156","704","854140",-1,0,0,0,149450442,0,342594172,5096407.806,0,18626068.038,193143730,0,13529660.232
